36623	10897	1
17397	25131	1
17319	6645	1
11546	98584	1
52040	7721	1
44358	22424	1
460	18092	1
17340	9346	1
33148	8186	1
25926	28124	1
103141	6966	1
5886	101645	1
14117	99855	1
101250	11151	1
16103	6487	1
25994	70992	1
37791	105687	1
3305	52862	1
96551	7747	1
39527	25431	1
55639	6487	1
100820	2834	1
10982	11002	1
14253	7821	1
55639	10915	1
14178	3433	1
11002	7491	1
25431	44229	1
4553	98766	1
36024	6002	1
21843	19611	1
17558	17025	1
44229	20342	1
20309	25994	1
49892	14498	1
106212	25148	1
40128	11099	1
41061	14253	1
100893	18267	1
48375	97031	1
15747	12406	1
11433	2208	1
38916	9380	1
11228	32252	1
50570	10549	1
25681	57967	1
5640	48146	1
9830	9936	1
12679	17818	1
7491	15770	1
10822	6860	1
19500	12864	1
99307	13670	1
44133	39334	1
38636	58503	1
6595	16874	1
9346	6860	1
12565	94868	1
16620	32252	1
25994	22682	1
6383	40354	1
71138	14842	1
94117	25926	1
12478	24354	1
54154	10897	1
7642	17952	1
18381	102757	1
24149	34599	1
25431	43942	1
98237	7747	1
28709	103792	1
2414	21455	1
14135	79685	1
23276	31249	1
50421	45429	1
59501	18522	1
29117	57096	1
37113	63888	1
12889	38204	1
14059	40372	1
33103	2834	1
12960	99678	1
97155	13989	1
103525	5254	1
12348	19437	1
29379	11546	1
10570	18074	1
102757	17887	1
38469	13642	1
56045	9380	1
10351	39984	1
21342	6353	1
11686	12204	1
30730	25335	1
14317	11484	1
68894	17887	1
37428	5742	1
15913	15552	1
106388	20563	1
59376	6915	1
8676	48480	1
91562	48375	1
36623	21094	1
105102	23583	1
24075	6002	1
76035	6645	1
20713	57096	1
24805	12478	1
7465	9971	1
70992	37823	1
37868	11868	1
36623	39141	1
30471	15064	1
14904	36782	1
15880	27105	1
15963	6645	1
7925	17907	1
99640	10315	1
5036	22756	1
3611	22424	1
20614	74866	1
15770	29025	1
7347	19960	1
41232	18074	1
62911	14216	1
105956	18522	1
45738	11075	1
20780	92187	1
54154	7491	1
16367	14011	1
94896	21903	1
100510	7038	1
25994	99517	1
96848	12960	1
6487	19257	1
20286	9380	1
3690	12704	1
15413	10841	1
38916	51836	1
35107	49268	1
22528	25393	1
14385	13522	1
14560	24149	1
99640	7925	1
11715	12317	1
12704	96950	1
21903	78962	1
68281	5507	1
6383	37454	1
37428	25926	1
44030	24386	1
15583	38636	1
28051	15913	1
20342	21455	1
96158	11075	1
21061	4553	1
8169	28510	1
25536	19294	1
9702	9914	1
22585	14675	1
92113	20780	1
7313	17588	1
68894	5254	1
45975	19500	1
10915	2505	1
103487	44133	1
18826	8901	1
28510	48375	1
9702	16170	1
11520	16522	1
25431	68894	1
17415	13522	1
39653	68437	1
18368	6645	1
20877	12679	1
36470	9830	1
14904	14904	1
21493	104375	1
50570	36782	1
91591	49892	1
5886	63141	1
23348	13789	1
9380	59893	1
74021	9971	1
5848	6732	1
56091	25536	1
103346	81878	1
25098	13642	1
38794	95205	1
21862	14657	1
20989	21903	1
27919	31172	1
8551	46738	1
9702	10095	1
103346	5640	1
14766	14117	1
25994	92187	1
104880	14385	1
72487	11686	1
10434	41128	1
18381	99444	1
18074	21903	1
8676	1865	1
12679	57512	1
17796	8115	1
24149	6860	1
8551	39886	1
13967	35963	1
12539	18429	1
5036	7882	1
14824	13522	1
5848	15770	1
